Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-197,1990,16.7,0,16,6,37.5,0.96,0.36,0.00,0.00,19.9,3,0,0,1.2,1.2,0.07,-1.2,-1.2,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-163,1997,11.3,6,31,13,41.9,2.73,1.15,0.19,0.46,9.9,0,0,0,5.6,5.6,0.18,+0.4,+0.4,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-244,1996,23.1,6,44,22,50.0,1.91,0.95,0.14,0.27,13.5,0,0,0,6.1,6.1,0.14,-0.1,-0.1,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-171,1997,25.0,0,18,5,27.8,0.72,0.20,0.00,0.00,8.9,0,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,34-070,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-285,1988,3.5,1,6,3,50.0,1.73,0.87,0.00,0.00,12.5,0,1,1,1.5,0.7,0.12,-0.5,-0.7,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-157,1996,24.2,2,12,3,25.0,0.50,0.12,0.17,0.67,25.3,1,0,0,0.9,0.9,0.07,+1.1,+1.1,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-281,2001,7.8,1,9,3,33.3,1.15,0.38,0.11,0.33,20.4,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-125,1993,23.3,2,7,3,42.9,0.30,0.13,0.29,0.67,10.1,0,0,0,0.5,0.5,0.07,+1.5,+1.5,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,26-024,1995,5.2,1,1,1,100.0,0.19,0.19,1.00,1.00,7.0,0,0,0,0.1,0.1,0.07,+0.9,+0.9,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,FWDF,Leicester City,31-116,1989,13.4,0,17,7,41.2,1.27,0.52,0.00,0.00,21.0,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-337,1991,11.8,0,12,1,8.3,1.02,0.08,0.00,0.00,22.2,1,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,32-012,1989,16.9,1,6,2,33.3,0.36,0.12,0.17,0.50,8.1,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,26-024,1995,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-158,1998,23.7,1,37,8,21.6,1.56,0.34,0.03,0.13,24.3,11,0,0,1.9,1.9,0.05,-0.9,-0.9,Matches
16,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,29-030,1992,18.0,2,15,5,33.3,0.83,0.28,0.13,0.40,19.3,0,0,0,1.0,1.0,0.07,+1.0,+1.0,Matches
17,Alisson\Alisson,br BRA,GK,Liverpool,28-163,1992,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
18,Allan\Allan,br BRA,MF,Everton,30-065,1991,14.8,0,4,1,25.0,0.27,0.07,0.00,0.00,23.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
19,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,24-337,1996,2.3,0,3,1,33.3,1.29,0.43,0.00,0.00,9.1,0,0,0,0.5,0.5,0.16,-0.5,-0.5,Matches
20,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,27-032,1994,17.6,4,24,10,41.7,1.36,0.57,0.17,0.40,17.8,1,0,0,2.4,2.4,0.10,+1.6,+1.6,Matches
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,30-076,1990,7.8,1,15,5,33.3,1.92,0.64,0.07,0.20,17.3,3,0,0,1.0,1.0,0.07,0.0,0.0,Matches
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,22-187,1998,8.2,1,5,2,40.0,0.61,0.24,0.20,0.50,14.6,0,0,0,0.6,0.6,0.12,+0.4,+0.4,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,26-083,1994,6.5,1,3,1,33.3,0.46,0.15,0.33,1.00,10.8,0,0,0,0.3,0.3,0.10,+0.7,+0.7,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,20-181,2000,19.8,0,7,2,28.6,0.35,0.10,0.00,0.00,17.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24-287,1996,22.7,0,7,2,28.6,0.31,0.09,0.00,0.00,15.6,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,18-128,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27-333,1993,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-351,1990,14.8,7,42,19,45.2,2.84,1.28,0.17,0.37,12.4,0,0,0,8.1,8.1,0.20,-1.1,-1.1,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,28-015,1993,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
30,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-349,1992,21.0,3,32,5,15.6,1.52,0.24,0.09,0.60,19.9,0,0,0,1.8,1.8,0.06,+1.2,+1.2,Matches
31,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-162,1994,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
32,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-269,1989,20.6,9,48,18,37.5,2.33,0.87,0.15,0.39,14.1,0,2,2,9.0,7.4,0.15,0.0,-0.4,Matches
33,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-080,1992,12.8,2,10,5,50.0,0.78,0.39,0.20,0.40,16.2,0,0,0,1.0,1.0,0.10,+1.0,+1.0,Matches
34,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-252,1989,1.5,0,3,0,0.0,1.96,0.00,0.00,,19.3,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
35,Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,29-184,1991,18.5,1,19,8,42.1,1.03,0.43,0.05,0.13,16.7,0,0,0,1.8,1.8,0.09,-0.8,-0.8,Matches
36,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-201,1991,27.8,0,18,4,22.2,0.65,0.14,0.00,0.00,17.5,0,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
37,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-198,1989,17.6,1,10,4,40.0,0.57,0.23,0.10,0.25,15.3,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches
38,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-336,1994,7.1,0,1,0,0.0,0.14,0.00,0.00,,11.0,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
39,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-203,1991,12.0,1,7,2,28.6,0.58,0.17,0.14,0.50,9.1,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches
40,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,28-005,1993,22.5,0,11,2,18.2,0.49,0.09,0.00,0.00,16.8,0,0,0,1.1,1.1,0.10,-1.1,-1.1,Matches
41,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,31-241,1989,5.6,5,19,8,42.1,3.42,1.44,0.26,0.63,17.9,4,0,0,3.0,3.0,0.16,+2.0,+2.0,Matches
42,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,27-190,1993,26.2,13,88,35,39.8,3.36,1.34,0.14,0.34,12.9,0,1,1,13.8,13.0,0.15,-0.8,-1.0,Matches
43,Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,35-259,1985,3.0,0,4,0,0.0,1.31,0.00,0.00,,25.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
44,Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,27-099,1993,0.5,0,1,1,100.0,2.14,2.14,0.00,0.00,28.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
45,Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,27-099,1993,12.7,3,31,9,29.0,2.44,0.71,0.10,0.33,17.1,1,0,0,2.9,2.9,0.09,+0.1,+0.1,Matches
46,Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,31-135,1989,14.4,3,36,12,33.3,2.51,0.84,0.06,0.17,16.0,0,1,1,4.9,4.1,0.11,-1.9,-2.1,Matches
47,Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,23-095,1997,21.6,9,55,25,45.5,2.54,1.16,0.16,0.36,16.9,0,0,0,6.2,6.2,0.11,+2.8,+2.8,Matches
48,Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,29-296,1991,19.8,3,11,5,45.5,0.56,0.25,0.27,0.60,6.9,0,0,0,1.8,1.8,0.16,+1.2,+1.2,Matches
49,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32-237,1988,22.6,0,8,1,12.5,0.35,0.04,0.00,0.00,14.4,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
50,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,27-163,1993,7.8,1,11,5,45.5,1.41,0.64,0.09,0.20,17.3,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches
51,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,24-336,1996,26.9,1,9,4,44.4,0.33,0.15,0.11,0.25,8.8,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Matches
52,Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,23-330,1997,3.6,1,1,1,100.0,0.28,0.28,1.00,1.00,9.8,0,0,0,0.3,0.3,0.26,+0.7,+0.7,Matches
53,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,25-360,1995,21.2,1,11,4,36.4,0.52,0.19,0.09,0.25,20.1,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches
54,Saïd Benrahma\Said-Benrahma,dz ALG,MFFW,West Ham,25-216,1995,10.6,0,24,9,37.5,2.26,0.85,0.00,0.00,20.4,1,0,0,1.7,1.7,0.07,-1.7,-1.7,Matches
55,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,21-099,1999,2.9,0,2,0,0.0,0.68,0.00,0.00,,23.5,1,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
56,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,30-101,1990,12.9,5,44,19,43.2,3.42,1.48,0.11,0.26,11.4,0,0,0,4.9,4.9,0.11,+0.1,+0.1,Matches
57,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,30-138,1990,9.8,2,16,6,37.5,1.63,0.61,0.13,0.33,20.7,1,0,0,1.5,1.5,0.09,+0.5,+0.5,Matches
58,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,23-028,1998,11.3,1,9,1,11.1,0.80,0.09,0.00,0.00,17.8,0,1,1,1.2,0.5,0.05,-0.2,-0.5,Matches
59,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-157,1997,11.3,0,12,2,16.7,1.06,0.18,0.00,0.00,16.7,0,0,0,1.7,1.7,0.14,-1.7,-1.7,Matches
60,Bernard\Bernard,br BRA,FWMF,Everton,28-187,1992,4.4,1,6,2,33.3,1.37,0.46,0.17,0.50,20.4,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
61,Bernardo\Bernardo,br BRA,DFMF,Brighton,25-304,1995,2.3,0,4,0,0.0,1.75,0.00,0.00,,6.9,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
62,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-221,1989,25.9,0,8,3,37.5,0.31,0.12,0.00,0.00,19.7,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
63,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-196,1996,23.6,1,25,2,8.0,1.06,0.08,0.04,0.50,25.8,1,0,0,0.7,0.7,0.03,+0.3,+0.3,Matches
64,Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20-230,2000,9.0,2,13,6,46.2,1.45,0.67,0.15,0.33,11.7,0,0,0,1.4,1.4,0.10,+0.6,+0.6,Matches
65,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,30-039,1991,16.0,1,10,3,30.0,0.62,0.19,0.10,0.33,10.9,0,0,0,1.0,1.0,0.10,0.0,0.0,Matches
66,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-084,1996,20.6,5,40,8,20.0,1.94,0.39,0.13,0.63,17.3,0,0,0,4.5,4.5,0.11,+0.5,+0.5,Matches
67,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,29-059,1992,11.7,1,16,5,31.3,1.37,0.43,0.06,0.20,19.8,4,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
